+--------------------------+--------------------------+----------------------------------------------------------------------------------------------------------+
|       Launch Clock       |      Capture Clock       |                                                 Pin                                                      |
|                 clk_pl_0 |clk_out1_design_1_clk_wiz_0_0 |                                     design_1_i/v_axi4s_vid_out_0/inst/SYNC_INST/fifo_pix_cnt_dly_reg[5]/R|
|                 clk_pl_0 |clk_out1_design_1_clk_wiz_0_0 |                                     design_1_i/v_axi4s_vid_out_0/inst/SYNC_INST/fifo_pix_cnt_dly_reg[0]/R|
|                 clk_pl_0 |clk_out1_design_1_clk_wiz_0_0 |                                     design_1_i/v_axi4s_vid_out_0/inst/SYNC_INST/fifo_pix_cnt_dly_reg[2]/R|
|                 clk_pl_0 |clk_out1_design_1_clk_wiz_0_0 |                                     design_1_i/v_axi4s_vid_out_0/inst/SYNC_INST/fifo_pix_cnt_dly_reg[3]/R|
|                 clk_pl_0 |clk_out1_design_1_clk_wiz_0_0 |                                     design_1_i/v_axi4s_vid_out_0/inst/SYNC_INST/fifo_eol_cnt_dly_reg[8]/R|
|                 clk_pl_0 |clk_out1_design_1_clk_wiz_0_0 |                                              design_1_i/v_axi4s_vid_out_0/inst/SYNC_INST/vtg_lag_reg[5]/R|
|                 clk_pl_0 |clk_out1_design_1_clk_wiz_0_0 |                                              design_1_i/v_axi4s_vid_out_0/inst/SYNC_INST/vtg_lag_reg[6]/R|
|                 clk_pl_0 |clk_out1_design_1_clk_wiz_0_0 |                                              design_1_i/v_axi4s_vid_out_0/inst/SYNC_INST/vtg_lag_reg[4]/R|
|                 clk_pl_0 |clk_out1_design_1_clk_wiz_0_0 |                                              design_1_i/v_axi4s_vid_out_0/inst/SYNC_INST/vtg_lag_reg[7]/R|
|                 clk_pl_0 |clk_out1_design_1_clk_wiz_0_0 |                                    design_1_i/v_axi4s_vid_out_0/inst/FORMATTER_INST/in_data_mux_reg[21]/R|
|                 clk_pl_0 |clk_out1_design_1_clk_wiz_0_0 |                                    design_1_i/v_axi4s_vid_out_0/inst/FORMATTER_INST/in_data_mux_reg[31]/R|
|                 clk_pl_0 |clk_out1_design_1_clk_wiz_0_0 |                                     design_1_i/v_axi4s_vid_out_0/inst/FORMATTER_INST/in_data_mux_reg[8]/R|
|                 clk_pl_0 |clk_out1_design_1_clk_wiz_0_0 |                                    design_1_i/v_axi4s_vid_out_0/inst/FORMATTER_INST/in_data_mux_reg[23]/R|
|                 clk_pl_0 |clk_out1_design_1_clk_wiz_0_0 |                                    design_1_i/v_axi4s_vid_out_0/inst/FORMATTER_INST/in_data_mux_reg[35]/R|
|                 clk_pl_0 |clk_out1_design_1_clk_wiz_0_0 |                                    design_1_i/v_axi4s_vid_out_0/inst/FORMATTER_INST/in_data_mux_reg[33]/R|
|                 clk_pl_0 |clk_out1_design_1_clk_wiz_0_0 |                                    design_1_i/v_axi4s_vid_out_0/inst/FORMATTER_INST/in_data_mux_reg[11]/R|
|                 clk_pl_0 |clk_out1_design_1_clk_wiz_0_0 |                                    design_1_i/v_axi4s_vid_out_0/inst/FORMATTER_INST/in_data_mux_reg[10]/R|
|                 clk_pl_0 |clk_out1_design_1_clk_wiz_0_0 |                                    design_1_i/v_axi4s_vid_out_0/inst/FORMATTER_INST/in_data_mux_reg[22]/R|
|                 clk_pl_0 |clk_out1_design_1_clk_wiz_0_0 |                                    design_1_i/v_axi4s_vid_out_0/inst/FORMATTER_INST/in_data_mux_reg[28]/R|
|                 clk_pl_0 |clk_out1_design_1_clk_wiz_0_0 |                                    design_1_i/v_axi4s_vid_out_0/inst/FORMATTER_INST/in_data_mux_reg[29]/R|
|                 clk_pl_0 |clk_out1_design_1_clk_wiz_0_0 |                                     design_1_i/v_axi4s_vid_out_0/inst/FORMATTER_INST/in_data_mux_reg[5]/R|
|                 clk_pl_0 |clk_out1_design_1_clk_wiz_0_0 |                                     design_1_i/v_axi4s_vid_out_0/inst/FORMATTER_INST/in_data_mux_reg[6]/R|
|                 clk_pl_0 |clk_out1_design_1_clk_wiz_0_0 |                                    design_1_i/v_axi4s_vid_out_0/inst/FORMATTER_INST/in_data_mux_reg[34]/R|
|                 clk_pl_0 |clk_out1_design_1_clk_wiz_0_0 |                                    design_1_i/v_axi4s_vid_out_0/inst/FORMATTER_INST/in_data_mux_reg[30]/R|
|                 clk_pl_0 |clk_out1_design_1_clk_wiz_0_0 |                                    design_1_i/v_axi4s_vid_out_0/inst/FORMATTER_INST/in_data_mux_reg[16]/R|
|                 clk_pl_0 |clk_out1_design_1_clk_wiz_0_0 |                                              design_1_i/v_axi4s_vid_out_0/inst/SYNC_INST/vtg_lag_reg[1]/R|
|                 clk_pl_0 |clk_out1_design_1_clk_wiz_0_0 |                                              design_1_i/v_axi4s_vid_out_0/inst/SYNC_INST/vtg_lag_reg[3]/S|
|                 clk_pl_0 |clk_out1_design_1_clk_wiz_0_0 |                                              design_1_i/v_axi4s_vid_out_0/inst/SYNC_INST/vtg_lag_reg[2]/S|
|                 clk_pl_0 |clk_out1_design_1_clk_wiz_0_0 |                                              design_1_i/v_axi4s_vid_out_0/inst/SYNC_INST/vtg_lag_reg[0]/R|
|                 clk_pl_0 |clk_out1_design_1_clk_wiz_0_0 |                                     design_1_i/v_axi4s_vid_out_0/inst/FORMATTER_INST/in_data_mux_reg[4]/R|
|                 clk_pl_0 |clk_out1_design_1_clk_wiz_0_0 |                                     design_1_i/v_axi4s_vid_out_0/inst/FORMATTER_INST/in_data_mux_reg[9]/R|
|                 clk_pl_0 |clk_out1_design_1_clk_wiz_0_0 |                                    design_1_i/v_axi4s_vid_out_0/inst/FORMATTER_INST/in_data_mux_reg[17]/R|
|                 clk_pl_0 |clk_out1_design_1_clk_wiz_0_0 |                                    design_1_i/v_axi4s_vid_out_0/inst/FORMATTER_INST/in_data_mux_reg[32]/R|
|                 clk_pl_0 |clk_out1_design_1_clk_wiz_0_0 |                                     design_1_i/v_axi4s_vid_out_0/inst/FORMATTER_INST/in_data_mux_reg[7]/R|
|                 clk_pl_0 |clk_out1_design_1_clk_wiz_0_0 |                                    design_1_i/v_axi4s_vid_out_0/inst/FORMATTER_INST/in_data_mux_reg[20]/R|
|                 clk_pl_0 |clk_out1_design_1_clk_wiz_0_0 |                                    design_1_i/v_axi4s_vid_out_0/inst/FORMATTER_INST/in_data_mux_reg[19]/R|
|                 clk_pl_0 |clk_out1_design_1_clk_wiz_0_0 |                                    design_1_i/v_axi4s_vid_out_0/inst/FORMATTER_INST/in_data_mux_reg[18]/R|
|                 clk_pl_0 |clk_out1_design_1_clk_wiz_0_0 |                                       design_1_i/v_axi4s_vid_out_0/inst/FORMATTER_INST/in_vsync_mux_reg/R|
|                 clk_pl_0 |clk_out1_design_1_clk_wiz_0_0 |                                          design_1_i/v_axi4s_vid_out_0/inst/FORMATTER_INST/in_de_mux_reg/R|
